AccessionId	CDC	Pango	Collected	Country
ERR4439379		B.1.1.237	7/11/2020	United Kingdom
ERR4439519		B.1.1.237	7/13/2020	United Kingdom
ERR4440368	Alpha	B.1.1.70	7/11/2020	United Kingdom
ERR4440675		B.1.1.237	7/30/2020	United Kingdom
ERR4458587		B.1	3/2/2020	United Kingdom
ERR4463286		B.1	3/1/2020	United Kingdom
ERR4466928		B.1.1.237	8/1/2020	United Kingdom
ERR4495169		B.1.1.237	8/3/2020	United Kingdom
ERR4555078		B.1.1.237	8/13/2020	United Kingdom
ERR4555152		B.1.1.237	8/1/2020	United Kingdom
ERR4569545		B.1.1.171	8/1/2020	United Kingdom
ERR4584994		B.1.1.315	8/1/2020	United Kingdom
ERR4584997		B.1.1	8/1/2020	United Kingdom
ERR4584998	Alpha	B.1.1.74	8/1/2020	United Kingdom
ERR4584999		B.1.1	7/30/2020	United Kingdom
ERR4585004		B.1.1.279	7/30/2020	United Kingdom
ERR4585033		B.1.1	7/30/2020	United Kingdom
ERR4585057		B.1.1.171	8/5/2020	United Kingdom
ERR4585059		B.1.1.171	8/5/2020	United Kingdom
ERR4585066		B.1.177	8/5/2020	United Kingdom
ERR4585074		B.1.1.1	8/2/2020	United Kingdom
ERR4585083		B.1.1.171	8/2/2020	United Kingdom
ERR4585087		B.1.1.1	8/3/2020	United Kingdom
ERR4585091		B.1.1.365	8/3/2020	United Kingdom
ERR4585097		B.1.1.1	8/2/2020	United Kingdom
ERR4585107		B.1.177	8/2/2020	United Kingdom
ERR4585121		B.1.235	8/2/2020	United Kingdom
ERR4585124		B.1.1.369	8/7/2020	United Kingdom
ERR4585140		B.1.610	8/2/2020	United Kingdom
ERR4585166		B.1.1.115	8/2/2020	United Kingdom
ERR4585168		B.1.36.17	8/2/2020	United Kingdom
ERR4585187		B.1.177	8/3/2020	United Kingdom
ERR4585198		B.1.1.253	8/3/2020	United Kingdom
ERR4585244		B.1.1.369	8/7/2020	United Kingdom
ERR4597074	Alpha	B.1.1.74	8/9/2020	United Kingdom
ERR4597077		B.1.1	8/9/2020	United Kingdom
ERR4597109		B.1.1	8/6/2020	United Kingdom
ERR4597122		B.1.1.279	8/8/2020	United Kingdom
ERR4597127		B.1.1.315	8/8/2020	United Kingdom
ERR4597142		B	8/7/2020	United Kingdom
ERR4597182		B.1	8/8/2020	United Kingdom
ERR4597226		B.1.1	8/8/2020	United Kingdom
ERR4597231		B.1.1	8/8/2020	United Kingdom
ERR4597233		B.1.1	8/8/2020	United Kingdom
ERR4597235		B.1.1.315	8/8/2020	United Kingdom
ERR4597256		B.1.1.4	8/9/2020	United Kingdom
ERR4597260		B.1.1.315	8/9/2020	United Kingdom
ERR4597272		B.1.1.315	8/8/2020	United Kingdom
ERR4597274		B.1.1.315	8/8/2020	United Kingdom
ERR4597286		B.1.1	8/9/2020	United Kingdom
ERR4597290		B.1.1.266	8/9/2020	United Kingdom
ERR4597315		B.1.1.315	8/9/2020	United Kingdom
ERR4597332		B.1.1	8/2/2020	United Kingdom
ERR4597690		B.1.1	8/10/2020	United Kingdom
ERR4597693		B.1.1.369	8/10/2020	United Kingdom
ERR4597696		B.1.177	8/10/2020	United Kingdom
ERR4597704		B.1.389	8/10/2020	United Kingdom
ERR4597707		B.1	8/11/2020	United Kingdom
ERR4597711		B.1.1.315	8/11/2020	United Kingdom
ERR4597715		B.1.1.286	8/11/2020	United Kingdom
ERR4597717		B.1.235	8/11/2020	United Kingdom
ERR4597718		B.1.1.161	8/10/2020	United Kingdom
ERR4597720		B.1.1	8/10/2020	United Kingdom
ERR4597722		B.1.1	8/11/2020	United Kingdom
ERR4597726		B.1.36.23	8/10/2020	United Kingdom
ERR4597733		B.1.1	8/11/2020	United Kingdom
ERR4597880	Alpha	B.1.1.74	8/8/2020	United Kingdom
ERR4598010		B.1.1.161	8/12/2020	United Kingdom
ERR4598021		B.1.367	8/13/2020	United Kingdom
ERR4598024		B.1.1.1	8/13/2020	United Kingdom
ERR4598037		B.1.1.234	8/13/2020	United Kingdom
ERR4598047		B.1.1	8/13/2020	United Kingdom
ERR4598063		B.1.1	8/13/2020	United Kingdom
ERR4598064		B.1.1	8/12/2020	United Kingdom
ERR4598067		B.1.1.315	8/12/2020	United Kingdom
ERR4598068		B.1.1.307	8/13/2020	United Kingdom
ERR4598075		B.1.1	8/12/2020	United Kingdom
ERR4599546		B.1.389	8/30/2020	United Kingdom
ERR4599711		B.1.1.315	8/9/2020	United Kingdom
ERR4599726		B.1.1	8/2/2020	United Kingdom
ERR4599729		B.1.1.369	8/2/2020	United Kingdom
ERR4599731		B.1.9	8/2/2020	United Kingdom
ERR4599777		B.1.1.253	8/1/2020	United Kingdom
ERR4599808		B.1.1.1	8/8/2020	United Kingdom
ERR4599912		B.1.1.372	8/1/2020	United Kingdom
ERR4604878		B.1.177.7	9/6/2020	United Kingdom
ERR4604924		B.1.177.7	9/6/2020	United Kingdom
ERR4604925		B.1.177.7	9/5/2020	United Kingdom
ERR4615880		B.1.177	8/30/2020	United Kingdom
ERR4615883		B.1.235	8/30/2020	United Kingdom
ERR4615885		AD.2	8/30/2020	United Kingdom
ERR4632192		B.1.1.301	6/7/2020	United Kingdom
ERR4632214		B.1.1	6/12/2020	United Kingdom
ERR4632224		C.3	6/12/2020	United Kingdom
ERR4632229		B.1.1	6/12/2020	United Kingdom
ERR4632266		B.1.1	6/8/2020	United Kingdom
ERR4632342		B.1.1.369	6/8/2020	United Kingdom
ERR4632373		B.1.1.301	6/8/2020	United Kingdom
ERR4632480		B.1.1.145	6/7/2020	United Kingdom
ERR4632485		B.1.1.369	6/7/2020	United Kingdom
ERR4632487		B.1.1.200	6/7/2020	United Kingdom
ERR4632489		B.1.1.301	6/7/2020	United Kingdom
ERR4632507		B.1.1.301	6/12/2020	United Kingdom
ERR4632509		B.1.1.45	6/12/2020	United Kingdom
ERR4632700		B.1.1.369	6/6/2020	United Kingdom
ERR4632724		B.1.1	6/6/2020	United Kingdom
ERR4632928		B.1.1	6/12/2020	United Kingdom
ERR4633138		B.1.1.59	6/12/2020	United Kingdom
ERR4633365		B.1.1	6/12/2020	United Kingdom
ERR4639793		B.1	6/7/2020	United Kingdom
ERR4639800		B.1.1	6/7/2020	United Kingdom
ERR4644535		B.1.1.161	8/30/2020	United Kingdom
ERR4645820		B.1.258	8/30/2020	United Kingdom
ERR4645826		B.1.160	8/30/2020	United Kingdom
ERR4645838		B.1.260	8/30/2020	United Kingdom
ERR4651027		B.1.177	9/10/2020	United Kingdom
ERR4651031		B.1.177	9/10/2020	United Kingdom
ERR4651068		B.1.1.286	9/6/2020	United Kingdom
ERR4651123		B.1.1.279	9/5/2020	United Kingdom
ERR4651134		B.1.258.3	9/6/2020	United Kingdom
ERR4651690		B.1.36.17	9/11/2020	United Kingdom
ERR4651747		B.1.1.307	9/11/2020	United Kingdom
ERR4652256		B.1.1	9/6/2020	United Kingdom
ERR4652674		B.1.177	9/12/2020	United Kingdom
ERR4652866		B.1	9/12/2020	United Kingdom
ERR4652902		B.1.177	9/13/2020	United Kingdom
ERR4653105		B.1	9/13/2020	United Kingdom
ERR4653147		B.1	9/13/2020	United Kingdom
ERR4659293		B.1	3/1/2020	Italy
ERR4660025		B.1.177.7	9/6/2020	United Kingdom
ERR4660041		B.1.177.7	9/12/2020	United Kingdom
ERR4664448		B.1.177.7	9/6/2020	United Kingdom
ERR4665110		B.1.177	9/6/2020	United Kingdom
ERR4665327		B.1.177.7	9/12/2020	United Kingdom
ERR4665544		B.1.177	9/13/2020	United Kingdom
ERR4665945		B.1.177	9/12/2020	United Kingdom
ERR4666937		B.1.177.7	9/12/2020	United Kingdom
ERR4667115		B.1.177.7	9/12/2020	United Kingdom
ERR4667142		B.1.177	9/13/2020	United Kingdom
ERR4667174		B.1.177.7	9/6/2020	United Kingdom
ERR4667293		B.1.258.7	9/12/2020	United Kingdom
ERR4667382		B.1.177	9/13/2020	United Kingdom
ERR4668263		B.1.1.37	9/13/2020	United Kingdom
ERR4689089		B.1.1.307	10/1/2020	United Kingdom
ERR4689100		B.1.160	10/2/2020	United Kingdom
ERR4689102		B.1.177.4	10/2/2020	United Kingdom
ERR4689106		B.1.177.4	10/2/2020	United Kingdom
ERR4689111		B.1.1.311	10/2/2020	United Kingdom
ERR4689114		AD.2	10/1/2020	United Kingdom
ERR4689116		B.1.258.3	10/1/2020	United Kingdom
ERR4689117		B.1.1.243	10/1/2020	United Kingdom
ERR4689123		B.1.177.4	10/1/2020	United Kingdom
ERR4689124		B.1.177	10/1/2020	United Kingdom
ERR4689126		B.1.177	10/1/2020	United Kingdom
ERR4689130		B.1.221	10/2/2020	United Kingdom
ERR4689131		B.1.1	10/1/2020	United Kingdom
ERR4689134		B.1.1.307	10/2/2020	United Kingdom
ERR4689135		B.1.1.307	10/1/2020	United Kingdom
ERR4689137		B.1.389	10/1/2020	United Kingdom
ERR4689138		B.1.177	10/2/2020	United Kingdom
ERR4689139		B.1.177	10/1/2020	United Kingdom
ERR4689140		B.1.1.307	10/2/2020	United Kingdom
ERR4689156		B.1.177	10/2/2020	United Kingdom
ERR4689158		B.1.177	10/2/2020	United Kingdom
ERR4689163		B.1.177	10/2/2020	United Kingdom
ERR4689179		B.1.258.5	10/2/2020	United Kingdom
ERR4689181		W.4	10/2/2020	United Kingdom
ERR4689201		B.1.177.4	10/2/2020	United Kingdom
ERR4689205		B.1.1.307	10/2/2020	United Kingdom
ERR4689209		AD.2	10/2/2020	United Kingdom
ERR4689211		B.1.1.37	10/2/2020	United Kingdom
ERR4689213		B.1	10/2/2020	United Kingdom
ERR4692341		B.1.177	10/7/2020	United Kingdom
ERR4692443		B.1.177	10/8/2020	United Kingdom
ERR4692489		B.1.258.3	9/30/2020	United Kingdom
ERR4692502		AD.2	10/4/2020	United Kingdom
ERR4692516		B.1.177	9/30/2020	United Kingdom
ERR4692549		B.1.177	10/6/2020	United Kingdom
ERR4692583		B.1.1.37	10/7/2020	United Kingdom
ERR4692596		B.1.1.310	9/12/2020	United Kingdom
ERR4692622		B.1.177.7	9/30/2020	United Kingdom
ERR4692639		B.1.177	9/30/2020	United Kingdom
ERR4692679		B.1.177	9/30/2020	United Kingdom
ERR4692738		B.1.177.65	10/6/2020	United Kingdom
ERR4692747		B.1.177.6	10/9/2020	United Kingdom
ERR4692778		B.1.177.11	10/3/2020	United Kingdom
ERR4692782		B.1.177	10/3/2020	United Kingdom
ERR4692834		B.1.177	10/3/2020	United Kingdom
ERR4692853		B.1.177	10/3/2020	United Kingdom
ERR4692930		B.1.177.56	9/30/2020	United Kingdom
ERR4692940		B.1.177.7	10/9/2020	United Kingdom
ERR4692995		B.1.1.311	9/30/2020	United Kingdom
ERR4693009		B.1.177.7	9/30/2020	United Kingdom
ERR4693012		B.1.177.7	10/9/2020	United Kingdom
ERR4693081		B.1.177	10/5/2020	United Kingdom
ERR4693106		AP.1	10/8/2020	United Kingdom
ERR4693136		B.1.177.65	10/10/2020	United Kingdom
ERR4693147		B.1.177.3	10/9/2020	United Kingdom
ERR4693162		B.1.177	10/9/2020	United Kingdom
ERR4693169		B.1.177.7	10/4/2020	United Kingdom
ERR4693181		B.1.177.7	10/6/2020	United Kingdom
ERR4693187		B.1.177.7	10/8/2020	United Kingdom
ERR4693193		AP.1	10/9/2020	United Kingdom
ERR4693209		B.1.1.198	10/8/2020	United Kingdom
ERR4693222		B.1.1.307	9/30/2020	United Kingdom
ERR4693235		B.1.177.7	10/9/2020	United Kingdom
ERR4693253		B.1.1.37	10/10/2020	United Kingdom
ERR4693368		B.1.1.37	10/10/2020	United Kingdom
ERR4693532		B.1.1.37	10/10/2020	United Kingdom
ERR4693570		B.1.177	10/9/2020	United Kingdom
ERR4693635		B.1.1.37	10/10/2020	United Kingdom
ERR4693724		B.1.177.7	10/4/2020	United Kingdom
ERR4693751		B.1.177.15	10/10/2020	United Kingdom
ERR4693944		B.1.1.311	10/9/2020	United Kingdom
ERR4694046		B.1.1.37	10/10/2020	United Kingdom
ERR4694114		B.1.1.37	10/10/2020	United Kingdom
ERR4694380		B.1.1.37	10/10/2020	United Kingdom
ERR4694459		B.1.1.37	10/10/2020	United Kingdom
ERR4699900		B.1.1.331	3/10/2020	Austria
ERR4702321		B.1	3/9/2020	Austria
ERR4703506		B.1.1.331	3/12/2020	Austria
ERR4703507		B.1.1.331	3/13/2020	Austria
ERR4703547		B.1	3/11/2020	Austria
ERR4703549		B.1	3/11/2020	Austria
ERR4703551		B.1	3/11/2020	Austria
ERR4703552		B.1	3/13/2020	Austria
ERR4703553		B.1.1	3/13/2020	Austria
ERR4703556		B.1	3/13/2020	Austria
ERR4703567		B.1.1.331	3/3/2020	Austria
ERR4703568		B.1.1.331	3/3/2020	Austria
ERR4703569		B.1.1.331	3/3/2020	Austria
ERR4703620		B.1.1.331	3/5/2020	Austria
ERR4704256		B.1	4/3/2020	Austria
ERR4704264		B.1.1.331	4/7/2020	Austria
ERR4704320		B.1.1.1	4/3/2020	Austria
ERR4704326		B.1	4/7/2020	Austria
ERR4704335		B.1	3/11/2020	Austria
ERR4704350		B.1.465	4/9/2020	Austria
ERR4704361		B.1	3/8/2020	Austria
ERR4704542		B.1.1.1	3/6/2020	Austria
ERR4758114		B.1.177	10/13/2020	United Kingdom
ERR4758133		B.1.177	10/10/2020	United Kingdom
ERR4758170		B.1.1.37	10/11/2020	United Kingdom
ERR4758224		B.1.177.56	10/13/2020	United Kingdom
ERR4758243		B.1.1.307	10/12/2020	United Kingdom
ERR4758275		B.1.1.198	10/13/2020	United Kingdom
ERR4758295		B.1.258.7	10/13/2020	United Kingdom
ERR4759158		B.1.1.37	10/11/2020	United Kingdom
ERR4759215		B.1.177	10/11/2020	United Kingdom
ERR4759345		B.1.1.37	10/11/2020	United Kingdom
ERR4759399		B.1.177	10/11/2020	United Kingdom
ERR4759755		B.1.1.311	10/11/2020	United Kingdom
ERR4759759		B.1.1.37	10/11/2020	United Kingdom
ERR4759801		B.1.1.37	10/11/2020	United Kingdom
ERR4759976		B.1.160	9/12/2020	United Kingdom
ERR4759998		B.1.177	10/11/2020	United Kingdom
ERR4763238		B.1.177	9/12/2020	United Kingdom
ERR4779205		B.1	2/10/2020	United Kingdom
ERR4780496		B.1.177	1/10/2020	United Kingdom
ERR4837411		B.1.177.7	11/1/2020	United Kingdom
ERR4837425		B.1.177.57	11/6/2020	United Kingdom
ERR4837472		B.1.177.7	11/1/2020	United Kingdom
ERR4837592		B.1.177	11/1/2020	United Kingdom
ERR4837668		B.1.177.15	11/1/2020	United Kingdom
ERR4837765		B.1.177.7	11/1/2020	United Kingdom
ERR4837885		B.1.177.7	11/1/2020	United Kingdom
ERR4837985		AP.1	11/1/2020	United Kingdom
ERR4838036		AP.1	11/1/2020	United Kingdom
ERR4838580		B.1.177	11/1/2020	United Kingdom
ERR4838656		AP.1	10/30/2020	United Kingdom
ERR4838718		AP.1	10/30/2020	United Kingdom
ERR4838739		B.1.1.311	10/30/2020	United Kingdom
ERR4838761		B.1.177.7	10/30/2020	United Kingdom
ERR4838802		B.1.177	11/1/2020	United Kingdom
ERR4838873		B.1.177.4	10/30/2020	United Kingdom
ERR4838874		B.1.177.57	10/30/2020	United Kingdom
ERR4838985		B.1.160.7	11/1/2020	United Kingdom
ERR4839209		AK.1	11/1/2020	United Kingdom
ERR4839599		AP.1	11/1/2020	United Kingdom
ERR4839613		B.1.177	11/1/2020	United Kingdom
ERR4839725		B.1.177.57	11/6/2020	United Kingdom
ERR4839743		B.1.177	11/1/2020	United Kingdom
ERR4866436		B.1.177.4	11/7/2020	United Kingdom
ERR4866454		B.1.177	11/7/2020	United Kingdom
ERR4866455		B.1.177	11/7/2020	United Kingdom
ERR4866458		B.1.177	11/7/2020	United Kingdom
ERR4866504		B.1.177	11/6/2020	United Kingdom
ERR4866505		B.1.177	11/6/2020	United Kingdom
ERR4867053		B.1.177.57	11/8/2020	United Kingdom
ERR4867835	Alpha	B.1.1.7	11/8/2020	United Kingdom
ERR4868150		B.1.177.54	11/8/2020	United Kingdom
ERR4875046		B.1.177.48	11/8/2020	United Kingdom
ERR4875060		B.1	11/8/2020	United Kingdom
ERR4875064		B.1.177	11/8/2020	United Kingdom
ERR4875065		B.1.260	11/8/2020	United Kingdom
ERR4971209		B.1	3/1/2020	Zimbabwe
ERR4971211		A	3/1/2020	Zimbabwe
ERR5037731		B.1.177	12/6/2020	United Kingdom
ERR5037779		B.1.177.56	12/6/2020	United Kingdom
ERR5037786		B.1.177	12/6/2020	United Kingdom
ERR5038642		B.1	12/13/2020	United Kingdom
ERR5038993		B.1.469	12/13/2020	United Kingdom
ERR5039000		B.1	12/13/2020	United Kingdom
ERR5039026		B.1.177.6	12/13/2020	United Kingdom
ERR5039027	Alpha	B.1.1.7	12/13/2020	United Kingdom
ERR5039048			12/13/2020	United Kingdom
ERR5042341		B.1.258.3	12/6/2020	United Kingdom
ERR5042345		B.1.177	12/6/2020	United Kingdom
ERR5042380		B.1.177	12/13/2020	United Kingdom
ERR5042402			12/6/2020	United Kingdom
ERR5042404			12/6/2020	United Kingdom
ERR5042421		B.1.177.17	12/5/2020	United Kingdom
ERR5057240		B.1	11/12/2020	United Kingdom
ERR5057242		B.1.177	11/12/2020	United Kingdom
ERR5057247		B.1.177	11/12/2020	United Kingdom
ERR5057249		B.1.177.57	11/12/2020	United Kingdom
ERR5057253		B.1.177.31	11/12/2020	United Kingdom
ERR5057254		B.1.1	11/12/2020	United Kingdom
ERR5060479		B.1.177.16	11/8/2020	United Kingdom
ERR5060504		B.1.36.39	11/9/2020	United Kingdom
ERR5060650		B.1.177	11/1/2020	United Kingdom
ERR5060909		B.1.177	10/12/2020	United Kingdom
ERR5061070		B.1.177.4	10/12/2020	United Kingdom
ERR5061107		B.1.1.301	9/9/2020	United Kingdom
ERR5061195		B.1.160	9/2/2020	United Kingdom
ERR5061230		B.1	8/30/2020	United Kingdom
ERR5061349		B.1.177	10/10/2020	United Kingdom
ERR5061361	Alpha	B.1.1.7	11/1/2020	United Kingdom
ERR5061608		B.1.222	4/4/2020	United Kingdom
ERR5061710		B.1.1.37	10/5/2020	United Kingdom
ERR5061716		B.1.177	11/9/2020	United Kingdom
ERR5061788		B.1.532	11/9/2020	United Kingdom
ERR5061791		B.1.177	11/1/2020	United Kingdom
ERR5061803		B.1.1	11/6/2020	United Kingdom
ERR5061981		B.1.1	11/1/2020	United Kingdom
ERR5062002		B.1.177.57	11/1/2020	United Kingdom
ERR5062174		B.1.258.3	10/5/2020	United Kingdom
ERR5062338		B.1.177.4	11/3/2020	United Kingdom
ERR5062342		B.1.177.16	10/5/2020	United Kingdom
ERR5062490		B.1.177.81	9/8/2020	United Kingdom
ERR5062514		B.1.1.307	10/7/2020	United Kingdom
ERR5062551		B.1.177.69	11/5/2020	United Kingdom
ERR5062627		B.1.177	11/1/2020	United Kingdom
ERR5062647		B.1.1	9/9/2020	United Kingdom
ERR5062733		B.1.177	11/5/2020	United Kingdom
ERR5062752		B.1.1.240	10/13/2020	United Kingdom
ERR5062867		B.1.177	10/12/2020	United Kingdom
ERR5062887		B.1.177.7	11/5/2020	United Kingdom
ERR5062902		AD.2	8/30/2020	United Kingdom
ERR5062907		B.1.177	10/5/2020	United Kingdom
ERR5063144		B.1.1.305	9/7/2020	United Kingdom
ERR5063361		B.1.177.7	9/1/2020	United Kingdom
ERR5063516		B.1.177.69	11/3/2020	United Kingdom
ERR5063993		B.1.177.4	10/30/2020	United Kingdom
ERR5064279		B.1.177.8	10/5/2020	United Kingdom
ERR5064366		B.1.177.87	10/4/2020	United Kingdom
ERR5064421		C.35	9/4/2020	United Kingdom
ERR5064535		B.1.177	10/1/2020	United Kingdom
ERR5064596		B.1.177.5	10/5/2020	United Kingdom
ERR5064646		B.1.1	4/7/2020	United Kingdom
ERR5064666		B.1	9/5/2020	United Kingdom
ERR5064760		AD.2	9/7/2020	United Kingdom
ERR5064903		B.1.177	10/2/2020	United Kingdom
ERR5065177		B.1.1.277	11/6/2020	United Kingdom
ERR5065206		B.1.177.7	10/13/2020	United Kingdom
ERR5065336		B.1.367	10/1/2020	United Kingdom
ERR5065392		AD.2	9/3/2020	United Kingdom
ERR5065458		B.1.177	10/12/2020	United Kingdom
ERR5065475		B.1.1.1	11/3/2020	United Kingdom
ERR5065542		B.1.258.12	10/9/2020	United Kingdom
ERR5065555		B.1.177	10/2/2020	United Kingdom
ERR5066486		B.1.177	10/30/2020	United Kingdom
ERR5067315		B.1.177	9/9/2020	United Kingdom
ERR5067533		W.4	10/13/2020	United Kingdom
ERR5067547		B.1.177.4	10/10/2020	United Kingdom
ERR5067768		B.1.1.37	10/7/2020	United Kingdom
ERR5067833		B.45	4/5/2020	United Kingdom
ERR5067935		B.1.1	9/9/2020	United Kingdom
ERR5068197		B.1.1.309	8/30/2020	United Kingdom
ERR5068214		B.1.36.29	9/7/2020	United Kingdom
ERR5068252		B.1.177	10/6/2020	United Kingdom
ERR5068257		B.1.1.269	10/2/2020	United Kingdom
